为了,"['for', 'for the sake of']","['prep.', 'misc.']"
铳,['blunderbuss'],['n.']
抽,"['take out', 'to pump']","['v.', 'misc.']"
抽,"['take out', 'to pump']","['v.', 'misc.']"
抽测,['spot test'],['spot test\n']
抽查,['spot check'],['spot check\n ;\n']
抽成,['commission'],['commission\n']
抽搐,['tic'],['n.']
抽搭,['sob'],['vi.']
抽打,['whip'],['vt.']
抽打,['whip'],['vt.']
抽调,['transfer (personnel or material)'],['transfer (personnel or material)\n']
抽斗,['drawer'],['n.']
抽肥补瘦,['take from the fat to pad the lean -- take from those who have mucha better'],['take from the fat to pad the lean -- take from those who have mucha better\n ;\n']
抽风,"['convulsions', 'air draft']","['n.', 'misc.']"
抽风,"['convulsions', 'air draft']","['n.', 'misc.']"
抽检,['spot check'],['spot check\n ;\n']
抽奖,['draw a lottery or raffle'],['draw a lottery or raffle\n']
抽筋,['cramp'],['cramp\n ;\n']
抽考,['make sample examination'],['make sample examination\n']
抽空,"['evacuation', 'evacuate', 'to find time']","['n.', 'vt.', 'misc.']"
抽冷子,['strike at unexpected moment'],['strike at unexpected moment\n ;\n']
抽搦,"['twitch', '（抽搐） tic']","['n.', 'misc.']"
抽泣,"['sob', 'spasmodic sobs']","['vi.', 'misc.']"
抽签,['draw lots'],['draw lots\n ;\n']
抽取,"['extraction', 'extract']","['n.', 'vt.']"
抽纱,['drawnwork'],['n.']
抽身,"[""leave (one's work)""]","[""leave (one's work)\n ;\n""]"
抽水,['draw water'],['draw water\n ;\n']
抽水,['draw water'],['draw water\n ;\n']
抽水机,"['pumper', 'water pump']","['n.', 'misc.']"
抽水马桶,['flush toilet'],['flush toilet\n ;\n']
抽税,['levy a tax'],['levy a tax\n']
抽穗,"['heading', 'head sprouting']","['n.', 'misc.']"
抽缩,"['shrinkage', 'shrink']","['n.', 'vi.']"
抽薹,['bolting'],['n.']
抽逃,"['flight', 'draw out capital illegally']","['n.', 'misc.']"
抽屉,['drawer'],['n.']
抽头,"['tapping', 'tap', 'take a percentage of the winnings in gambling']","['n.', 'vt.', 'misc.']"
抽闲,['manage to find time'],['manage to find time\n']
抽象,['abstract'],['n.']
抽象劳动,['abstract labor'],['abstract labor\n']
抽象思维,['abstract thinking'],['abstract thinking\n']
抽选,['select from a lot'],['select from a lot\n']
抽芽,"['bud', 'sprout', 'put forth buds']","['n.', 'vi.', 'misc.']"
抽验,['selective acceptance'],['selective acceptance\n']
抽样,"['sampling', 'sample', 'samples drawn']","['n.', 'vt.', 'misc.']"
抽噎,['sob'],['vi.']
抽咽,['sob'],['vi.']
抽印,['offprint'],['n.']
抽壮丁,['pressgang'],['pressgang\n']
瘳,"['harm', 'convalesce', 'recover (from an illness)']","['n.', 'vi.', 'misc.']"
犨,"['projecting', ""sound of an ox's breath""]","['adj.', 'misc.']"
仇,['spouse'],['n.']
仇雠,['personal enemy'],['personal enemy\n']
仇敌,['enemy'],['n.']
仇恨,['hostility'],['n.']
仇家,['enemy'],['n.']
仇人,"['enemy', 'personal enemy']","['n.', 'misc.']"
仇杀,['kill in revenge'],['kill in revenge\n ;\n']
仇视,['regard as an enemy'],['regard as an enemy\n ;\n']
仇外,['xenophobia'],['n.']
仇隙,"['feud', 'bitter quarrel']","['n.', 'misc.']"
仇怨,['hatred'],['n.']
俦,['companion'],['n.']
帱,"['curtain', 'the curtain of a carriage']","['n.', 'misc.']"
惆,['sad'],['adj.']
惆怅,['melancholy'],['adj.']
绸,"['silk', 'silk fabric']","['n.', 'misc.']"
绸缎,['silks and satins'],['silks and satins\n ;\n']
绸缪,"['affectionate', 'sentimentally attached']","['adj.', 'misc.']"
绸子,['silk fabric'],['silk fabric\n']
畴,['farmland'],['n.']
畴昔,['in former times'],['in former times\n']
酬,"['reward', 'repay', 'fulfil']","['n.', 'vi.', 'vt.']"
酬报,"['reward', 'repay', 'requite']","['n.', 'vi.', 'vt.']"
酬宾,['bargain sales'],['bargain sales\n']
酬唱,"['write back and forth, esp. poems between friends']","['write back and forth, esp. poems between friends\n ;\n']"
酬答,['thank sb. with a gift'],['thank sb. with a gift\n']
酬对,"['reply', 'answer']","['vi.', 'vt.']"
酬和,['respond (to a poem) with a poem'],['respond (to a poem) with a poem\n']
酬金,"['remuneration', 'recompense']","['n.', 'vt.']"
酬劳,['thank sb. with a gift'],['thank sb. with a gift\n']
酬谢,['thank sb. with a gift'],['thank sb. with a gift\n ;\n']
酬应,['have social intercourses with'],['have social intercourses with\n ;\n']
稠,['thick；dense； a surname'],['thick；dense； a surname\n']
稠糊,['heavy paste'],['heavy paste\n']
稠密,"['denseness', 'dense']","['n.', 'adj.']"
稠人广众,['assemble (the people) in one place'],['assemble (the people) in one place\n ;\n']
愁,"['anxious', 'worry']","['adj.', 'vt.']"
愁肠,['pent-up feelings of sadness'],['pent-up feelings of sadness\n']
愁苦,['distress'],['n.']
愁眉,['knitted brows'],['knitted brows\n ;\n']
愁眉苦脸,['pull a long face'],['pull a long face\n ;\n']
愁眉锁眼,"[""knit one's brows in despair""]","[""knit one's brows in despair\n ;\n""]"
愁闷,"['distress', 'glum', 'feel gloomy']","['n.', 'adj.', 'misc.']"
愁容,['worried look'],['worried look\n ;\n']
愁思,"['melancholy', 'deep longing']","['n.', 'misc.']"
愁绪,['gloomy mood'],['gloomy mood\n ;\n']
愁云,['a cloud of sorrow'],['a cloud of sorrow\n ;\n']
愁云惨雾,['gathering clouds and rolling mists'],['gathering clouds and rolling mists\n ;\n']
筹,"['counter', 'prepare']","['n.', 'vt.']"
筹办,"['make preparations', 'make arrangements']","['vt.', 'misc.']"
筹备,['make preparations'],['vt.']
筹措,['raise (money)'],['raise (money)\n ;\n']
筹划,['plan and prepare'],['plan and prepare\n']
筹集,['raise'],['vt.']
筹建,['prepare to build sth'],['prepare to build sth\n']
筹码,['chip'],['n.']
筹谋,['plan and prepare'],['plan and prepare\n']
筹拍,['prepare to shoot'],['prepare to shoot\n ;\n']
筹商,['discuss'],['vt.']
筹算,"['count', 'rod-arithmetic']","['vt.', 'misc.']"
筹资,['financing'],['n.']
筹组,['prepare and organize'],['prepare and organize\n']
裯,['thin quilt'],['thin quilt\n ;\n']
踌躇,"['falter', 'hesitate', 'hang back']","['n.', 'vi.', 'misc.']"
踌躇满志,"['complacent', 'ready to do sth. proudly']","['adj.', 'misc.']"
雠,['proofread'],['vt.']
雠,['proofread'],['vt.']
丑,"['clown', 'uglily']","['n.', 'adv.']"
丑,"['clown', 'uglily']","['n.', 'adv.']"
丑,"['clown', 'uglily']","['n.', 'adv.']"
丑八怪,"['disfigured', 'ugly monster']","['n.', 'misc.']"
丑表功,"[""brag shamelessly about one's deeds""]","[""brag shamelessly about one's deeds\n ;\n""]"
丑诋,"['abuse', 'swear']","['n.', 'vt.']"
丑恶,['ugly'],['adj.']
丑化,"['defame', 'smear']","['v.', 'vt.']"
丑话,"['scandal', 'scandalous gossip']","['n.', 'misc.']"
丑剧,['farce'],['n.']
丑角,['clown'],['n.']
丑类,"['villain', 'evil person']","['n.', 'misc.']"
丑陋,['ugliness'],['n.']
丑婆子,['a woman clown on stage'],['a woman clown on stage\n']
丑时,['the period of the day from 1 a.m. to 3 p.m.'],['the period of the day from 1 a.m. to 3 p.m.\n']
丑事,['scandal'],['n.']
丑态,"['clownism', 'ugly performance']","['n.', 'misc.']"
丑闻,['scandal'],['n.']
丑小鸭,['ugly duckling'],['ugly duckling\n']
丑行,"['ignominy', 'notorious conduct']","['n.', 'misc.']"
杻,['an ancient instruments of torture'],['an ancient instruments of torture\n ;\n']
偢,"['stupid', '同“瞅”']","['adj.', 'misc.']"
瞅,['look at'],['v.']
瞅见,['see'],['vt.']
臭,"['stink', 'smelly']","['n.', 'adj.']"
臭虫,"['bug', 'Cimex bedbug']","['n.', 'misc.']"
臭椿,['ailanthus'],['n.']
臭豆腐,['stinky tofu'],['stinky tofu\n ;\n']
臭烘烘,"['stinking', 'foul-smelling']","['adj.', 'misc.']"
臭美,['show off shamelessly'],['show off shamelessly\n']
臭名,"['notoriety', 'notorious reputation']","['n.', 'misc.']"
臭皮囊,['the vile skin-bag'],['the vile skin-bag\n ;\n']
臭味相投,['like drawn to like'],['like drawn to like\n ;\n']
臭腺,['scent gland'],['scent gland\n']
臭氧,['ozone'],['n.']
臭氧层,['ozone sphere'],['ozone sphere\n']
殠,['同 “臭”'],['同 “臭”\n']
出,['come'],['vi.']
出,['come'],['vi.']
出,['come'],['vi.']
出版,"['appear', 'publish', 'come out']","['vi.', 'vt.', 'misc.']"
出榜,['publish a list of successful candidates or examinees'],['publish a list of successful candidates or examinees\n']
出奔,"['flee', 'leave', 'run away']","['vi.', 'vt.', 'misc.']"
出殡,['carry a coffin to the cemetery'],['carry a coffin to the cemetery\n ;\n']
出兵,['dispatch troops'],['dispatch troops\n ;\n']
出操,"['drill', 'go out to do exercises']","['n.', 'misc.']"
出岔子,['go wrong'],['go wrong\n ;\n']
出差,"['evection', ""Moon's evection""]","['n.', 'misc.']"
出产,"['manufacture', 'produce', 'put out']","['n.', 'vt.', 'misc.']"
出厂,['leave factory'],['leave factory\n']
出场,['come on the stage'],['come on the stage\n']
出场费,['appearance fee'],['appearance fee\n']
出超,"['favourable balance of trade', 'trade surplus']","['n.', 'misc.']"
出车,['dispatch a vehicle'],['dispatch a vehicle\n ;\n']
出丑,['make a show of oneself'],['make a show of oneself\n ;\n']
出处,['provenance'],['n.']
出道,['debut'],['n.']
出典,['pawn'],['n.']
出典,['pawn'],['n.']
出动,"['dispatch', 'turn out']","['n.', 'misc.']"
出尔反尔,"['back and fill', 'contradict oneself']","['adv.', 'misc.']"
出发,"['depart', 'start off']","['vi.', 'misc.']"
出发点,"['springboard', 'start', 'starting point']","['n.', 'vt.', 'misc.']"
出饭,['(off rice) rise well (with cooking)'],['(off rice) rise well (with cooking)\n']
出访,['visit a foreign country'],['visit a foreign country\n']
出份子,['club together(to present a gift to sb.)'],['club together(to present a gift to sb.)\n']
出风头,['seekbe in'],['seekbe in\n ;\n']
出伏,['ending of the dog days'],['ending of the dog days\n']
出阁,"['marry', '(of a woman) get married']","['vt.', 'misc.']"
出格,['exceed what is proper'],['exceed what is proper\n ;\n']
出工,['go to work'],['go to work\n ;\n']
出恭,['go to the lavatory (for a bowel movement)'],['go to the lavatory (for a bowel movement)\n']
出轨,['derailment'],['n.']
出国,['go abroad'],['go abroad\n']
出海,['go to sea'],['go to sea\n ;\n']
出航,['set out on a voyage'],['set out on a voyage\n ;\n']
出活,['yield results in work'],['yield results in work\n ;\n']
出击,"['sortie', 'hit out']","['n.', 'misc.']"
出家,['become a monk or nun or Taoist priest'],['become a monk or nun or Taoist priest\n']
出家人,['ascetic'],['adj.']
出价,"['bid', 'offer a price']","['vt.', 'misc.']"
出嫁,"['marry', 'get married']","['vt.', 'misc.']"
出将入相,['be as good a general as a minister'],['be as good a general as a minister\n ;\n']
出界,"['out-of-bounds', 'out-of-range']","['adj.', 'misc.']"
出借,"['loan', 'lend']","['n.', 'vt.']"
出境,"['exit', 'leave the country']","['n.', 'misc.']"
出镜,['cross in'],['cross in\n ;\n']
出局,['out'],['out\n ;\n']
出具,"['issue', 'provide']","['n.', 'vt.']"
出圈,"['remove manure from a pigsty, sheepfold, etc.']","['remove manure from a pigsty, sheepfold, etc.\n']"
出口,"['exit', 'speak', 'utter', 'way out']","['n.', 'vi.', 'vt.', 'misc.']"
出口,"['exit', 'speak', 'utter', 'way out']","['n.', 'vi.', 'vt.', 'misc.']"
出口,"['exit', 'speak', 'utter', 'way out']","['n.', 'vi.', 'vt.', 'misc.']"
出口成章,['have an outstanding eloquence'],['have an outstanding eloquence\n']
出口伤人,['offend by rude remarks'],['offend by rude remarks\n ;\n']
出来,['come out'],['come out\n']
出来,['come out'],['come out\n']
出类拔萃,"['supereminence', 'outstanding', 'fill the bill']","['n.', 'adj.', 'misc.']"
出力,"['contribute', 'exert oneself']","['vt.', 'misc.']"
出列,"[""leave one's place in the ranks""]","[""leave one's place in the ranks\n""]"
出猎,['go hunting'],['go hunting\n']
出溜,"['slide', 'slip']","['n.', 'vi.']"
出笼,['come out of the steamer'],['come out of the steamer\n']
出炉,['draw a charge'],['draw a charge\n']
出路,"['outlet', 'way out']","['n.', 'misc.']"
出乱子,['go wrong'],['go wrong\n ;\n']
出落,"['grow (prettier, etc.)']","['grow (prettier, etc.)\n']"
出马,"['take the field', 'go into action']","['v.', 'misc.']"
出卖,['sell'],['vt.']
出毛病,"['conk', 'be out of order']","['vi.', 'misc.']"
出梅,['ending of Meiyu'],['ending of Meiyu\n']
出门,['go out'],['go out\n']
出面,['come forward'],['come forward\n ;\n']
出苗,"['sprout', 'germinate', '(of seedlings) emerge']","['vi.', 'vt.', 'misc.']"
出名,['famous'],['adj.']
出没,"['haunt', 'come and go']","['vt.', 'misc.']"
出谋划策,['give counsel'],['give counsel\n ;\n']
出纳,"['cashier', 'receive and pay out money or bills']","['n.', 'misc.']"
出盘,"['placing', 'sell up']","['n.', 'misc.']"
出票,['draw a bill'],['draw a bill\n ;\n']
出品,"['manufacture', 'make']","['n.', 'vt.']"
出其不意,"['off base', 'by surprise']","['adj.', 'misc.']"
出奇,['unusually'],['adv.']
出奇制胜,['defeat sb. by a surprise action'],['defeat sb. by a surprise action\n ;\n']
出气,"[""vent one's anger""]","[""vent one's anger\n""]"
出气筒,"[""one who serves as a vent to sb.'s anger""]","[""one who serves as a vent to sb.'s anger\n""]"
出勤,['turn out for work'],['turn out for work\n ;\n']
出去,['get out'],['get out\n ;\n']
出去,['get out'],['get out\n ;\n']
出圈儿,"['go too far', 'overstep the bounds']","['vi.', 'misc.']"
出缺,"['voidance', 'fall vacant']","['n.', 'misc.']"
出让,"['transfer', 'to sell']","['n.', 'misc.']"
出人命,['cause deaths'],['cause deaths\n']
出人头地,['stand out'],['stand out\n ;\n']
出人意表,['beyond all expectations'],['beyond all expectations\n']
出人意料,['beyond all expectations'],['beyond all expectations\n ;\n']
出任,['take up the post of'],['take up the post of\n']
出入,['come in and go out'],['come in and go out\n']
出赛,['attend the competition'],['attend the competition\n']
出丧,['hold a funeral procession'],['hold a funeral procession\n']
出色,['remarkable'],['adj.']
出山,['leave retirement and take a government post'],['leave retirement and take a government post\n ;\n']
出身,['family background'],['family background\n']
出神,"['trance', 'aphelxia']","['n.', 'misc.']"
出神入化,['by superb'],['by superb\n']
出生,"['birth', 'be born']","['n.', 'misc.']"
出生率,"['natality', 'birth rate']","['n.', 'misc.']"
出生入死,['go through fire and water'],['go through fire and water\n']
出师,"[""finish one's apprenticeship""]","[""finish one's apprenticeship\n""]"
出师,"[""finish one's apprenticeship""]","[""finish one's apprenticeship\n""]"
出使,['serve as an envoy abroad'],['serve as an envoy abroad\n ;\n']
出示,"['bring forth', 'show']","['v.', 'vt.']"
出世,['be born'],['be born\n ;\n']
出世作,['first effort'],['first effort\n ;\n']
出仕,['become an official'],['become an official\n']
出事,"['have an accident', 'meet with a mishap']","['vi.', 'misc.']"
出手,"['sell', ""get (hoarded goods, etc.) off one's hands""]","['vt.', 'misc.']"
出售,['sell'],['vi.']
出数儿,['rise well with cooking'],['rise well with cooking\n']
出台,['come on'],['v.']
出逃,"['flee', 'escape', 'run away']","['vi.', 'vt.', 'misc.']"
出挑,"['grow (prettier, etc.)']","['grow (prettier, etc.)\n']"
出粜,['sell (grain)'],['sell (grain)\n']
出庭,['appear in court'],['appear in court\n ;\n']
出头,"[""lift one's head""]","[""lift one's head\n ;\n""]"
出头露面,['appear in public'],['appear in public\n ;\n']
出徒,"[""complete one's apprenticeship""]","[""complete one's apprenticeship\n""]"
出土,['come up'],['come up\n ;\n']
出脱,['manage to sell'],['manage to sell\n ;\n']
出外,['leave for another town， city， etc.'],['leave for another town， city， etc.\n']
出亡,"['flee', 'escape', 'live in exile']","['vi.', 'vt.', 'misc.']"
出息,['promise'],['n.']
出席,['be present'],['be present\n']
出险,['be or get out of danger'],['be or get out of danger\n ;\n']
出现,['appear'],['vi.']
出线,"['outlet', 'outgoing line']","['n.', 'misc.']"
出项,"['expenses', 'outlay', 'item of expenditure']","['n.', 'vt.', 'misc.']"
出血,['bleeding'],['n.']
出新,['make new advances'],['make new advances\n']
出行,"['trip', 'going out']","['vi.', 'misc.']"
出巡,['royal progress'],['royal progress\n']
出演,['play'],['vt.']
出洋,['go abroad'],['go abroad\n']
出洋相,['make a fool of oneself'],['make a fool of oneself\n ;\n']
